"","subj_idx","dangerous","weapon","rt","response","condition","stimulus"
"512",6,0,1,0.708,0,"harmless","gun"
"513",6,0,1,0.576,0,"harmless","gun"
"514",6,0,0,0.717,1,"harmless","phone"
"515",6,0,0,0.737,1,"harmless","phone"
"516",6,0,1,0.516,0,"harmless","gun"
"517",6,1,1,0.703,0,"dangerous","gun"
"518",6,0,1,0.583,0,"harmless","gun"
"519",6,1,1,0.546,0,"dangerous","gun"
"520",6,1,0,0.683,1,"dangerous","phone"
"521",6,1,0,0.7,1,"dangerous","phone"
"522",6,0,1,0.547,0,"harmless","gun"
"523",6,1,1,0.529,0,"dangerous","gun"
"524",6,1,1,0.506,0,"dangerous","gun"
"525",6,0,0,0.532,1,"harmless","phone"
"526",6,0,0,0.82,1,"harmless","phone"
"527",6,1,1,0.643,0,"dangerous","gun"
"528",6,0,1,0.553,0,"harmless","gun"
"529",6,0,1,0.482,0,"harmless","gun"
"530",6,1,0,0.622,1,"dangerous","phone"
"531",6,1,0,0.579,1,"dangerous","phone"
"532",6,1,0,0.571,1,"dangerous","phone"
"533",6,1,0,0.753,1,"dangerous","phone"
"534",6,1,0,0.755,1,"dangerous","phone"
"535",6,0,0,0.742,1,"harmless","phone"
"536",6,1,0,0.696,1,"dangerous","phone"
"537",6,1,1,0.717,0,"dangerous","gun"
"538",6,0,0,0.567,1,"harmless","phone"
"539",6,1,1,0.546,0,"dangerous","gun"
"540",6,0,0,0.657,1,"harmless","phone"
"541",6,1,0,0.765,1,"dangerous","phone"
"542",6,0,0,0.711,1,"harmless","phone"
"543",6,0,1,0.594,0,"harmless","gun"
"544",6,1,0,0.593,1,"dangerous","phone"
"545",6,1,0,0.625,1,"dangerous","phone"
"546",6,0,0,0.707,1,"harmless","phone"
"547",6,1,1,0.514,0,"dangerous","gun"
"548",6,1,0,0.666,1,"dangerous","phone"
"549",6,1,1,0.653,0,"dangerous","gun"
"550",6,0,0,0.591,1,"harmless","phone"
"551",6,0,1,0.469,0,"harmless","gun"
"552",6,1,0,0.575,1,"dangerous","phone"
"553",6,0,0,0.679,1,"harmless","phone"
"554",6,1,1,0.539,0,"dangerous","gun"
"555",6,0,1,0.469,1,"harmless","gun"
"556",6,0,0,0.647,1,"harmless","phone"
"557",6,0,1,0.508,0,"harmless","gun"
"558",6,0,0,0.63,1,"harmless","phone"
"559",6,1,1,0.539,0,"dangerous","gun"
"560",6,0,1,0.58,0,"harmless","gun"
"561",6,0,1,0.604,0,"harmless","gun"
"562",7,0,1,0.543,0,"harmless","gun"
"563",7,0,1,0.405,0,"harmless","gun"
"564",7,0,1,0.583,0,"harmless","gun"
"565",7,0,0,0.625,0,"harmless","phone"
"566",7,1,1,0.46,0,"dangerous","gun"
"567",7,0,0,0.706,1,"harmless","phone"
"568",7,1,1,0.638,0,"dangerous","gun"
"569",7,0,0,0.637,1,"harmless","phone"
"570",7,0,1,0.447,0,"harmless","gun"
"571",7,1,1,0.707,0,"dangerous","gun"
"572",7,1,1,0.48,0,"dangerous","gun"
"573",7,1,0,0.663,1,"dangerous","phone"
"574",7,0,0,0.57,1,"harmless","phone"
"575",7,1,1,0.493,0,"dangerous","gun"
"576",7,0,1,0.645,0,"harmless","gun"
"577",7,0,0,0.631,1,"harmless","phone"
"578",7,1,0,0.618,1,"dangerous","phone"
"579",7,1,1,0.383,0,"dangerous","gun"
"580",7,0,0,0.607,1,"harmless","phone"
"581",7,0,0,0.614,1,"harmless","phone"
"582",7,1,1,0.401,0,"dangerous","gun"
"583",7,0,1,0.465,0,"harmless","gun"
"584",7,0,1,0.527,0,"harmless","gun"
"585",7,0,0,0.536,0,"harmless","phone"
