"","subj_idx","stimulus","stim","rt","response","condition"
"12909",121,"phone","wp",0.451,1,"white"
"12910",121,"phone","wp",0.378,1,"white"
"12911",121,"gun","bg",0.467,0,"black"
"12912",121,"phone","bp",0.562,1,"black"
"12913",121,"gun","bg",0.391,0,"black"
"12914",121,"gun","bg",0.43,0,"black"
"12915",121,"gun","wg",0.377,1,"white"
"12917",121,"phone","bp",0.52,1,"black"
"12918",121,"phone","wp",0.533,1,"white"
"12919",121,"gun","bg",0.464,0,"black"
"12920",121,"gun","bg",0.452,0,"black"
"12922",121,"phone","wp",0.663,1,"white"
"12923",121,"phone","wp",0.668,1,"white"
"12924",121,"phone","bp",0.461,1,"black"
"12925",121,"gun","wg",0.436,0,"white"
"12926",121,"phone","wp",0.452,1,"white"
"12927",121,"gun","wg",0.427,0,"white"
"12928",121,"gun","wg",0.514,0,"white"
"12929",121,"gun","wg",0.483,0,"white"
"12930",121,"gun","bg",0.412,0,"black"
"12931",121,"phone","bp",0.546,1,"black"
"12932",121,"gun","bg",0.456,0,"black"
"12933",121,"gun","wg",0.456,0,"white"
"12934",121,"phone","bp",0.557,1,"black"
"12935",121,"gun","wg",0.455,0,"white"
"12936",121,"phone","wp",0.662,1,"white"
"12937",121,"gun","wg",0.456,0,"white"
"12938",121,"gun","wg",0.505,0,"white"
"12939",121,"gun","wg",0.455,0,"white"
"12940",121,"phone","bp",0.607,1,"black"
"12941",121,"gun","bg",0.398,0,"black"
"12942",121,"gun","wg",0.445,0,"white"
"12943",121,"phone","bp",0.68,1,"black"
"12944",121,"gun","bg",0.428,0,"black"
"12945",121,"gun","wg",0.525,0,"white"
"12946",121,"phone","wp",0.589,1,"white"
"12947",121,"gun","wg",0.682,0,"white"
"12948",121,"gun","wg",0.481,0,"white"
"12949",121,"phone","wp",0.544,1,"white"
"12950",121,"phone","bp",0.608,1,"black"
"12951",121,"gun","bg",0.456,0,"black"
"12952",121,"phone","bp",0.534,1,"black"
"12953",121,"phone","wp",0.511,1,"white"
"12954",121,"phone","wp",0.573,1,"white"
"12955",121,"phone","wp",0.587,1,"white"
"12956",121,"phone","bp",0.467,1,"black"
"12957",121,"phone","wp",0.646,1,"white"
"12958",121,"phone","bp",0.455,1,"black"
"12959",121,"gun","wg",0.561,0,"white"
"12961",121,"gun","wg",0.481,0,"white"
"12962",121,"gun","bg",0.392,0,"black"
"12963",121,"gun","wg",0.436,0,"white"
"12964",121,"gun","bg",0.396,0,"black"
"12965",121,"gun","wg",0.472,0,"white"
"12966",121,"phone","wp",0.563,1,"white"
"12967",121,"phone","bp",0.623,1,"black"
"12968",121,"phone","wp",0.599,1,"white"
"12969",121,"gun","bg",0.423,0,"black"
"12970",121,"phone","wp",0.57,1,"white"
"12971",122,"phone","bp",0.654,1,"black"
"12972",122,"phone","bp",0.663,1,"black"
"12973",122,"phone","wp",0.447,1,"white"
"12974",122,"gun","bg",0.436,0,"black"
"12975",122,"gun","wg",0.504,0,"white"
"12976",122,"gun","wg",0.407,0,"white"
"12977",122,"gun","bg",0.393,0,"black"
"12978",122,"gun","bg",0.418,0,"black"
"12979",122,"phone","wp",0.551,1,"white"
